id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,video_quality_category,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
3,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,54151,142.250.74.100,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,147,9,3714,1.64545E+12,1.64545E+12,147,5,1612,1.64545E+12,1.64545E+12,38,4,2102,54,412.6666667,524.8397374,1278,61,322.4,534.6702722,1278,54,525.5,568.1839491,1278,0,18.375,28.36968956,83,0,36.75,43.29260907,84,0,12.66666667,12.50333289,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,www.google.com,ca7c1e1877cd15fb6cd45b1aab4c8838,,Chrome/98.0.4758.102 Windows NT 10.0; Win64; x64,
4,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3235,216.58.207.227,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,14839,6,326,1.64545E+12,1.64545E+12,14839,3,121,1.64545E+12,1.64545E+12,14807,3,205,40,54.33333333,29.12501788,113,40,40.33333333,0.577350269,41,40,68.33333333,39.14502948,113,0,2967.8,6590.954195,14758,48,7419.5,10424.87528,14791,49,7403.5,10400.83364,14758,0,0,0,0,6,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,1,TLS.Google,Web,720P_30FPS_VoD,1,,,,,
9,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,64815,157.240.194.35,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,22546,145,87806,1.64545E+12,1.64545E+12,22493,73,49098,1.64545E+12,1.64545E+12,22500,72,38708,52,605.5586207,556.9768457,1278,61,672.5753425,552.5508754,1278,52,537.6111111,557.021368,1260,0,156.5694444,753.18618,6843,0,312.4027778,1057.470842,6888,0,316.9014085,1071.262782,6905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Facebook,SocialNetwork,720P_30FPS_VoD,1,,,,,
10,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,57605,216.58.207.227,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,108,7,750,1.64545E+12,1.64545E+12,78,3,498,1.64545E+12,1.64545E+12,75,4,252,53,107.1428571,118.4151293,374,61,166,180.1360597,374,53,63,18.69046103,91,0,18,14.71054044,33,26,39,18.38477631,52,0,25,28.47806173,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Google,Web,720P_30FPS_VoD,1,,,,,
11,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3175,65.9.47.130,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,14784,9,436,1.64545E+12,1.64545E+12,14755,4,161,1.64545E+12,1.64545E+12,14732,5,275,40,48.44444444,14.14311768,79,40,40.25,0.5,41,40,55,16.70329309,79,0,1848,5193.431511,14701,0,4918.333333,8517.07123,14753,0,3683,7345.346509,14701,0,0,0,0,9,2,0,2,0,0,0,0,4,0,0,1,0,0,0,0,5,2,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
19,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,64231,142.250.74.106,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,145,16,5422,1.64545E+12,1.64545E+12,123,8,2581,1.64545E+12,1.64545E+12,60,8,2841,53,338.875,434.8121242,1278,61,322.625,470.6745729,1278,53,355.125,427.777792,1278,0,9.666666667,22.1638917,84,0,17.57142857,31.25623747,85,0,8.571428571,11.25251295,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
24,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,54483,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,129,9,3713,1.64545E+12,1.64545E+12,129,5,1611,1.64545E+12,1.64545E+12,34,4,2102,54,412.5555556,524.9128764,1278,61,322.2,534.7716335,1278,54,525.5,568.1839491,1278,0,16.125,22.96231385,68,1,32.25,34.22839951,68,5,11.33333333,6.506407099,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
32,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,59404,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,153,9,3711,1.64545E+12,1.64545E+12,153,5,1609,1.64545E+12,1.64545E+12,33,4,2102,54,412.3333333,525.0597585,1278,61,321.8,534.97542,1278,54,525.5,568.1839491,1278,0,19.125,31.31607301,93,0,38.25,43.77499286,93,6,11,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
38,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,65250,142.250.74.42,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,137,15,5425,1.64545E+12,1.64545E+12,137,7,2553,1.64545E+12,1.64545E+12,42,8,2872,53,361.6666667,441.7270758,1278,61,364.7142857,492.7391853,1278,53,359,426.7562034,1278,0,9.785714286,19.01893215,67,0,22.83333333,27.4839347,68,0,6,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
45,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,62631,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,95,8,3667,1.64545E+12,1.64545E+12,95,5,1612,1.64545E+12,1.64545E+12,24,3,2055,61,458.375,541.7234238,1278,61,322.4,534.6702722,1278,127,685,576.2976661,1278,0,13.57142857,17.5770413,44,0,23.75,26.89950433,49,0,12,16.97056275,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
54,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,49506,35.209.92.19,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,4000,7,7773,1.64545E+12,1.64545E+12,4000,7,7773,0,0,0,0,0,105,1110.428571,443.3523268,1278,105,1110.428571,443.3523268,1278,0,0,0,0,0,666.6666667,633.5521026,1554,0,666.6666667,633.5521026,1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_VoD,0,beacons.gcp.gvt2.com,5ec18c82d86c687320cc6448d8417386,,Chrome/98.0.4758.102 Windows NT 10.0; Win64; x64,
57,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3418,150.242.122.31,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,15004,5,260,1.64545E+12,1.64545E+12,15004,5,260,0,0,0,0,0,52,52,0,52,52,52,0,52,0,0,0,0,1000,3751,3095.803719,8001,1000,3751,3095.803719,8001,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TLS,Web,720P_30FPS_VoD,1,,,,,
65,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,63153,142.250.74.46,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,188,16,6936,1.64545E+12,1.64545E+12,122,8,3429,1.64545E+12,1.64545E+12,107,8,3507,53,433.5,523.0214782,1278,61,428.625,541.5783646,1278,53,438.375,541.1286981,1278,0,12.53333333,25.19315856,79,0,17.42857143,28.77995334,79,0,15.28571429,24.21235419,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
75,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3181,20.199.120.85,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,139,3,388,1.64545E+12,1.64545E+12,139,2,179,1.64545E+12,1.64545E+12,0,1,209,40,129.3333333,84.91368166,209,40,89.5,70.00357134,139,209,209,0,209,41,69.5,40.30508653,98,139,139,0,139,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,TLS.Azure,Cloud,720P_30FPS_VoD,1,,,,,
79,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,49795,142.250.74.142,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,110,16,6178,1.64545E+12,1.64545E+12,110,8,2053,1.64545E+12,1.64545E+12,44,8,4125,53,386.125,482.840191,1278,61,256.625,421.1294126,1278,53,515.625,532.8154163,1278,0,7.333333333,12.13417056,42,0,15.71428571,21.82288009,52,0,6.285714286,9.569296138,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
