id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,video_quality_category,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,49978,2a03:ec00:b008:3909::11,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61497E+12,1.61497E+12,50962,7227,6685396,1.61497E+12,1.61497E+12,50962,2245,98191,1.61497E+12,1.61497E+12,50951,4982,6587205,33,925.0582538,603.6300346,1338,41,43.7376392,42.3543876,821,33,1322.200923,141.2537786,1338,0,7.052587877,259.8385285,20624,0,22.71033868,468.8548631,20624,0,10.22907047,313.6086182,20659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,720P_30FPS_Live,1,,,,,
17,0,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,23402,51.103.5.186,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61497E+12,1.61497E+12,293,3,392,1.61497E+12,1.61497E+12,293,2,181,1.61497E+12,1.61497E+12,0,1,211,40,130.6666667,85.96704795,211,40,90.5,71.4177849,141,211,211,0,211,41,146.5,149.1995308,252,293,293,0,293,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,TLS,Web,720P_30FPS_Live,1,,,,,
37,1,2a00:1450:400f:80d::200e,d2:f8:08:41:c0:04,d2:f8:08,443,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,49179,17,6,0,0,1.61497E+12,1.61497E+12,1799969,4536,1240415,1.61497E+12,1.61497E+12,1799969,2363,399786,1.61497E+12,1.61497E+12,1796483,2173,840629,33,273.460097,435.6902359,1338,33,169.1857808,330.9150487,1338,41,386.8518178,502.561397,1314,0,396.9060639,1384.642405,13245,0,762.0529213,1914.993707,13393,0,827.1100368,1960.508747,13314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,720P_30FPS_Live,1,,,,,
38,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,53854,2a00:1450:400f:806::2016,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61497E+12,1.61497E+12,5890,173,158240,1.61497E+12,1.61497E+12,5871,47,2636,1.61497E+12,1.61497E+12,5719,126,155604,34,914.6820809,601.4531121,1338,41,56.08510638,41.23360269,175,34,1234.952381,341.408819,1338,0,34.24418605,363.9905833,4775,0,127.6304348,715.3167553,4870,0,45.752,440.0069401,4924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,720P_30FPS_Live,1,,,,,
41,1,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,23330,3.235.82.185,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61497E+12,1.61497E+12,1774805,338,42049,1.61497E+12,1.61497E+12,1774805,179,23388,1.61497E+12,1.61497E+12,1774586,159,18661,40,124.4053254,97.54885363,266,40,130.6592179,99.7423144,257,40,117.3647799,94.83819808,266,0,5266.48368,9591.79117,29883,58,9970.814607,11348.8686,29883,0,11231.55696,11672.82598,30388,0,0,0,0,338,179,0,0,0,0,0,0,179,117,0,0,0,0,0,0,159,62,0,0,TLS,Web,720P_30FPS_Live,1,,,,,
42,0,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10036,103.235.46.170,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61497E+12,1.61497E+12,27425,3,121,1.61497E+12,1.61497E+12,27425,3,121,0,0,0,0,0,40,40.33333333,0.577350269,41,40,40.33333333,0.577350269,41,0,0,0,0,5066,13712.5,12227.99757,22359,5066,13712.5,12227.99757,22359,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,TLS,Web,720P_30FPS_Live,1,,,,,
47,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,54987,2a00:1450:400f:10::c,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61497E+12,1.61497E+12,15759,24,12070,1.61497E+12,1.61497E+12,15628,12,5056,1.61497E+12,1.61497E+12,15684,12,7014,33,502.9166667,567.1969152,1338,41,421.3333333,560.8873381,1312,33,584.5,586.1354947,1338,0,685.173913,3189.40353,15315,0,1420.727273,4639.814718,15410,0,1425.818182,4624.660243,15369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,
52,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,60586,2a00:1450:400f:10::7,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61497E+12,1.61497E+12,230796,2454,2442682,1.61497E+12,1.61497E+12,230796,568,46518,1.61497E+12,1.61497E+12,230719,1886,2396164,33,995.3879381,562.7110635,1338,41,81.89788732,173.9383117,1312,33,1270.50053,275.2877593,1338,0,94.08724011,1039.472238,25151,0,407.047619,2136.608541,25151,0,122.3973475,1190.650442,25227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,
54,0,103.235.46.170,d2:f8:08:41:c0:04,d2:f8:08,443,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10054,6,4,0,0,1.61497E+12,1.61497E+12,77335,6,272,1.61497E+12,1.61497E+12,8,2,111,1.61497E+12,1.61497E+12,77327,4,161,40,45.33333333,12.58040805,71,40,55.5,21.92031022,71,40,40.25,0.5,41,0,15467,21644.02485,45001,8,8,0,8,1,25775.66667,23203.886,45001,0,0,0,0,6,1,1,2,0,0,0,0,2,1,0,1,0,0,0,0,4,0,1,1,TLS,Web,720P_30FPS_Live,1,,,,,
55,0,103.235.46.170,d2:f8:08:41:c0:04,d2:f8:08,443,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10055,6,4,0,0,1.61497E+12,1.61497E+12,138639,21,917,1.61497E+12,1.61497E+12,29866,6,302,1.61497E+12,1.61497E+12,138639,15,615,40,43.66666667,9.451631253,71,40,50.33333333,16.00833116,71,40,41,3.070597894,52,0,6931.95,10994.15521,44600,48,5973.2,7974.923993,14766,8,9902.785714,12081.98748,44600,0,0,0,0,21,2,1,8,0,0,0,0,6,2,0,2,0,0,0,0,15,0,1,6,TLS,Web,720P_30FPS_Live,1,,,,,
