id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,video_quality_category,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
10,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57795,151.101.2.167,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,35469,7,427,1.6457E+12,1.6457E+12,35469,3,163,1.6457E+12,1.6457E+12,35452,4,264,54,61,8.660254038,78,54,54.33333333,0.577350269,55,60,66,8.485281374,78,0,5911.5,14463.50448,35435,17,17734.5,25056.32879,35452,0,11817.33333,20468.22174,35452,0,0,0,0,7,1,1,2,0,0,0,0,3,0,1,1,0,0,0,0,4,1,0,1,TLS,Web,720P_30FPS_VoD,1,,,,,
11,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57804,151.101.86.214,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,35264,7,427,1.6457E+12,1.6457E+12,35264,3,163,1.6457E+12,1.6457E+12,35252,4,264,54,61,8.660254038,78,54,54.33333333,0.577350269,55,60,66,8.485281374,78,0,5877.333333,14384.71137,35240,12,17632,24918.44297,35252,0,11750.66667,20352.75169,35252,0,0,0,0,7,1,1,2,0,0,0,0,3,0,1,1,0,0,0,0,4,1,0,1,TLS,Web,720P_30FPS_VoD,1,,,,,
12,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57594,108.157.217.204,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,273784,25,1999,1.6457E+12,1.6457E+12,273775,11,707,1.6457E+12,1.6457E+12,273775,14,1292,54,79.96,67.13573316,392,54,64.27272727,22.33871486,122,60,92.28571429,86.97871408,392,0,11407.66667,19070.76816,45000,0,27377.5,21074.53652,45010,0,21059.61538,21846.90014,45010,0,0,0,0,25,6,0,2,0,0,0,0,11,2,0,1,0,0,0,0,14,4,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
13,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57799,108.157.215.178,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,195009,16,1004,1.6457E+12,1.6457E+12,194997,7,383,1.6457E+12,1.6457E+12,194997,9,621,54,62.75,10.5483016,93,54,54.71428571,0.487950036,55,60,69,10.39230485,93,0,13000.6,20332.89173,45001,0,32499.5,19952.68555,45013,0,24374.625,22597.26892,45012,0,0,0,0,16,2,0,2,0,0,0,0,7,0,0,1,0,0,0,0,9,2,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
14,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57800,143.204.239.179,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,230286,16,965,1.6457E+12,1.6457E+12,230269,8,437,1.6457E+12,1.6457E+12,230267,8,528,54,60.3125,7.002083023,78,54,54.625,0.51754917,55,60,66,5.554920599,78,0,15352.4,20755.51705,45002,0,32895.57143,18251.39237,45020,0,32895.28571,18254.33199,45019,0,0,0,0,16,1,1,2,0,0,0,0,8,0,1,1,0,0,0,0,8,1,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
15,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57829,108.157.217.35,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,194982,16,1004,1.6457E+12,1.6457E+12,194970,7,383,1.6457E+12,1.6457E+12,194971,9,621,54,62.75,10.5483016,93,54,54.71428571,0.487950036,55,60,69,10.39230485,93,0,12998.8,20333.44827,45007,0,32495,19958.6446,45018,0,24371.375,22599.77357,45018,0,0,0,0,16,2,0,2,0,0,0,0,7,0,0,1,0,0,0,0,9,2,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
16,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57821,143.204.239.179,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,228976,16,965,1.6457E+12,1.6457E+12,228956,8,437,1.6457E+12,1.6457E+12,228956,8,528,54,60.3125,7.002083023,78,54,54.625,0.51754917,55,60,66,5.554920599,78,0,15265.06667,20670.20923,45001,0,32708,18239.88344,45022,0,32708,18243.65914,45022,0,0,0,0,16,1,1,2,0,0,0,0,8,0,1,1,0,0,0,0,8,1,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
17,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,58631,142.250.74.100,ac:1f:6b:6c:d2:72,ac:1f:6b,443,17,4,0,0,1.6457E+12,1.6457E+12,68,8,3778,1.6457E+12,1.6457E+12,68,5,1681,1.6457E+12,1.6457E+12,16,3,2097,75,472.25,541.8164555,1292,75,336.2,534.7716335,1292,141,699,576.2976661,1292,0,9.714285714,12.36546651,26,0,17,20.4450483,41,0,8,11.3137085,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
91,0,192.108.239.254,ac:1f:6b:6c:d2:72,ac:1f:6b,443,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57818,6,4,0,0,1.6457E+12,1.6457E+12,45032,4,229,1.6457E+12,1.6457E+12,45032,2,120,1.6457E+12,1.6457E+12,45000,2,109,54,57.25,3.201562119,60,60,60,0,60,54,54.5,0.707106781,55,0,15010.66667,25971.52944,45000,45032,45032,0,45032,45000,45000,0,45000,0,0,0,0,3,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,TLS.Twitch,Video,720P_30FPS_VoD,1,,,,,
113,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57822,143.204.239.179,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,230672,16,965,1.6457E+12,1.6457E+12,230655,8,437,1.6457E+12,1.6457E+12,230654,8,528,54,60.3125,7.002083023,78,54,54.625,0.51754917,55,60,66,5.554920599,78,0,15378.13333,20782.15237,45001,0,32950.71429,18259.53707,45018,0,32950.57143,18262.92138,45018,0,0,0,0,16,1,1,2,0,0,0,0,8,0,1,1,0,0,0,0,8,1,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
