id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,video_quality_category,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,49978,2a03:ec00:b008:3909::11,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61E+12,1.61E+12,50962,7227,7075654,1.61E+12,1.61E+12,50962,2245,219421,1.61E+12,1.61E+12,50951,4982,6856233,87,979.0582538,603.6300346,1392,95,97.7376392,42.3543876,875,87,1376.200923,141.2537786,1392,0,7.052587877,259.8385285,20624,0,22.71033868,468.8548631,20624,0,10.22907047,313.6086182,20659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,1,,,,,
17,0,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,23402,51.103.5.186,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61E+12,1.61E+12,293,3,434,1.61E+12,1.61E+12,293,2,209,1.61E+12,1.61E+12,0,1,225,54,144.6666667,85.96704795,225,54,104.5,71.4177849,155,225,225,0,225,41,146.5,149.1995308,252,293,293,0,293,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,TLS,Web,720P_30FPS_Live,1,,,,,
37,1,2a00:1450:400f:80d::200e,d2:f8:08:41:c0:04,d2:f8:08,443,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,49179,17,6,0,0,1.61E+12,1.61E+12,1799969,4536,1485359,1.61E+12,1.61E+12,1799969,2363,527388,1.61E+12,1.61E+12,1796483,2173,957971,87,327.460097,435.6902359,1392,87,223.1857808,330.9150487,1392,95,440.8518178,502.561397,1368,0,396.9060639,1384.642405,13245,0,762.0529213,1914.993707,13393,0,827.1100368,1960.508747,13314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,1,,,,,
38,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,53854,2a00:1450:400f:806::2016,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61E+12,1.61E+12,5890,173,167582,1.61E+12,1.61E+12,5871,47,5174,1.61E+12,1.61E+12,5719,126,162408,88,968.6820809,601.4531121,1392,95,110.0851064,41.23360269,229,88,1288.952381,341.408819,1392,0,34.24418605,363.9905833,4775,0,127.6304348,715.3167553,4870,0,45.752,440.0069401,4924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,1,,,,,
41,1,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,23330,3.235.82.185,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61E+12,1.61E+12,1774805,338,46781,1.61E+12,1.61E+12,1774805,179,25894,1.61E+12,1.61E+12,1774586,159,20887,54,138.4053254,97.54885363,280,54,144.6592179,99.7423144,271,54,131.3647799,94.83819808,280,0,5266.48368,9591.79117,29883,58,9970.814607,11348.8686,29883,0,11231.55696,11672.82598,30388,0,0,0,0,338,179,0,0,0,0,0,0,179,117,0,0,0,0,0,0,159,62,0,0,TLS,Web,720P_30FPS_Live,1,,,,,
42,0,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10036,103.235.46.170,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61E+12,1.61E+12,27425,3,163,1.61E+12,1.61E+12,27425,3,163,0,0,0,0,0,54,54.33333333,0.577350269,55,54,54.33333333,0.577350269,55,0,0,0,0,5066,13712.5,12227.99757,22359,5066,13712.5,12227.99757,22359,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,TLS,Web,720P_30FPS_Live,1,,,,,
47,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,54987,2a00:1450:400f:10::c,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61E+12,1.61E+12,15759,24,13366,1.61E+12,1.61E+12,15628,12,5704,1.61E+12,1.61E+12,15684,12,7662,87,556.9166667,567.1969152,1392,95,475.3333333,560.8873381,1366,87,638.5,586.1354947,1392,0,685.173913,3189.40353,15315,0,1420.727273,4639.814718,15410,0,1425.818182,4624.660243,15369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,
52,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,60586,2a00:1450:400f:10::7,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61E+12,1.61E+12,230796,2454,2575198,1.61E+12,1.61E+12,230796,568,77190,1.61E+12,1.61E+12,230719,1886,2498008,87,1049.387938,562.7110635,1392,95,135.8978873,173.9383117,1366,87,1324.50053,275.2877593,1392,0,94.08724011,1039.472238,25151,0,407.047619,2136.608541,25151,0,122.3973475,1190.650442,25227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,
54,0,103.235.46.170,d2:f8:08:41:c0:04,d2:f8:08,443,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10054,6,4,0,0,1.61E+12,1.61E+12,77335,6,356,1.61E+12,1.61E+12,8,2,139,1.61E+12,1.61E+12,77327,4,217,54,59.33333333,12.58040805,85,54,69.5,21.92031022,85,54,54.25,0.5,55,0,15467,21644.02485,45001,8,8,0,8,1,25775.66667,23203.886,45001,0,0,0,0,6,1,1,2,0,0,0,0,2,1,0,1,0,0,0,0,4,0,1,1,TLS,Web,720P_30FPS_Live,1,,,,,
55,0,103.235.46.170,d2:f8:08:41:c0:04,d2:f8:08,443,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10055,6,4,0,0,1.61E+12,1.61E+12,138639,21,1211,1.61E+12,1.61E+12,29866,6,386,1.61E+12,1.61E+12,138639,15,825,54,57.66666667,9.451631253,85,54,64.33333333,16.00833116,85,54,55,3.070597894,66,0,6931.95,10994.15521,44600,48,5973.2,7974.923993,14766,8,9902.785714,12081.98748,44600,0,0,0,0,21,2,1,8,0,0,0,0,6,2,0,2,0,0,0,0,15,0,1,6,TLS,Web,720P_30FPS_Live,1,,,,,
56,1,34.198.72.12,d2:f8:08:41:c0:04,d2:f8:08,443,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,9540,6,4,0,0,1.61E+12,1.61E+12,1776701,240,18272,1.61E+12,1.61E+12,1776701,156,10819,1.61E+12,1.61E+12,1776493,84,7453,54,76.13333333,15.30495221,89,54,69.3525641,15.0199027,85,66,88.72619048,2.509505738,89,0,7433.895397,11262.04436,25241,23,11462.5871,12228.73069,25241,308,21403.53012,8712.559688,25459,0,0,0,0,240,156,0,0,0,0,0,0,156,73,0,0,0,0,0,0,84,83,0,0,TLS.AmazonAWS,Cloud,720P_30FPS_Live,1,,,,,
57,1,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,9160,211.152.137.25,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61E+12,1.61E+12,1789604,253,18181,1.61E+12,1.61E+12,1789604,127,9262,1.61E+12,1.61E+12,1789476,126,8919,54,71.86166008,17.40850892,91,54,72.92913386,18.374923,91,54,70.78571429,16.37979592,87,0,7101.603175,12506.77787,30522,131,14203.20635,14578.00387,30522,12,14315.808,14786.48704,30990,0,0,0,0,253,127,0,0,0,0,0,0,127,64,0,0,0,0,0,0,126,63,0,0,TLS,Web,720P_30FPS_Live,1,,,,,
61,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,53783,2a00:1450:4001:6c::a,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61E+12,1.61E+12,258856,62999,70498934,1.61E+12,1.61E+12,258856,13088,1310614,1.61E+12,1.61E+12,258718,49911,69188320,87,1119.048461,527.6471486,1392,95,100.1386002,50.19307612,1366,87,1386.233896,84.41864453,1392,0,4.10895584,40.02246027,6075,0,19.77962864,88.15386354,6075,0,5.183690643,47.30138078,6314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,
66,1,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,9582,2a00:1450:4010:c07::bc,d2:f8:08:41:c0:04,d2:f8:08,5228,6,6,0,0,1.61E+12,1.61E+12,1772421,84,6788,1.61E+12,1.61E+12,1772302,42,3174,1.61E+12,1.61E+12,1772166,42,3614,74,80.80952381,6.264215045,100,74,75.57142857,3.864427242,100,74,86.04761905,2.879298534,100,0,21354.46988,22423.40663,45002,164,43226.87805,8774.39229,45777,0,43223.56098,8805.204566,45778,0,0,0,0,84,2,0,0,0,0,0,0,42,1,0,0,0,0,0,0,42,1,0,0,QUIC,Web,720P_30FPS_Live,1,,,,,
67,0,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,9985,212.93.100.201,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61E+12,1.61E+12,67691,11,656,1.61E+12,1.61E+12,67658,5,272,1.61E+12,1.61E+12,67613,6,384,54,59.63636364,8.127394752,78,54,54.4,0.547722558,55,54,64,9.033271833,78,0,6769.1,15071.40851,45001,168,16914.5,21422.18122,45079,0,13522.6,20202.8642,45266,0,0,0,0,11,1,1,4,0,0,0,0,5,0,1,2,0,0,0,0,6,1,0,2,TLS,Web,720P_30FPS_Live,1,,,,,
68,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,10048,2a00:1450:400f:803::200e,d2:f8:08:41:c0:04,d2:f8:08,443,6,6,0,0,1.61E+12,1.61E+12,105368,12,1085,1.61E+12,1.61E+12,105368,6,459,1.61E+12,1.61E+12,105250,6,626,74,90.41666667,26.97291009,147,74,76.5,4.679743583,86,74,104.3333333,33.37464107,147,0,9578.909091,18036.77495,45002,74,21073.6,22824.20681,45290,74,21050,22851.68562,45289,0,0,0,0,12,2,0,2,0,0,0,0,6,0,0,1,0,0,0,0,6,2,0,1,TLS,Web,720P_30FPS_Live,1,,,,,
69,0,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,9984,54.192.98.17,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61E+12,1.61E+12,60510,17,1082,1.61E+12,1.61E+12,60139,8,446,1.61E+12,1.61E+12,60344,9,636,54,63.64705882,17.53190369,117,54,55.75,4.166190449,66,54,70.66666667,21.94880407,117,0,3781.875,11550.48054,45001,0,8591.285714,16999.81447,45167,0,7543,16004.41335,45202,0,0,0,0,17,3,0,5,0,0,0,0,8,0,0,2,0,0,0,0,9,3,0,3,TLS.AmazonAWS,Cloud,720P_30FPS_Live,1,,,,,
79,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,64127,2a00:1450:400f:80d::2016,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61E+12,1.61E+12,1103,86,72803,1.61E+12,1.61E+12,951,33,6422,1.61E+12,1.61E+12,933,53,66381,87,846.5465116,626.7108472,1392,95,194.6060606,317.2137429,1366,87,1252.471698,377.3951002,1392,0,12.97647059,42.40815748,293,0,29.71875,61.32422264,293,0,17.94230769,67.66306765,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,
101,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,55428,2a03:ec00:b008:3909::11,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61E+12,1.61E+12,9504,2020,2032878,1.61E+12,1.61E+12,9504,582,62289,1.61E+12,1.61E+12,9148,1438,1970589,87,1006.375248,591.2576331,1392,95,107.0257732,107.6660597,1366,87,1370.367872,162.2263348,1392,0,4.707280832,53.50935194,2360,0,16.35800344,100.3071622,2387,0,6.366040362,63.862674,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,
103,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,10059,2a03:ec00:b008:3909::11,d2:f8:08:41:c0:04,d2:f8:08,443,6,6,0,0,1.61E+12,1.61E+12,105959,21,5500,1.61E+12,1.61E+12,105730,10,1347,1.61E+12,1.61E+12,105496,11,4153,74,261.9047619,412.3161293,1372,74,134.7,161.5309052,591,74,377.5454545,534.4483817,1372,0,5297.95,13937.72896,45000,1,11747.77778,19446.76727,45092,0,10549.6,18799.30754,45234,3,0,0,0,19,3,1,2,1,0,0,0,9,2,0,0,2,0,0,0,10,1,1,2,TLS.YouTube,Media,720P_30FPS_Live,0,r6---sn-ahu-gpml.googlevideo.com,b32309a26951912be7dba376398abc3b,eb1d94daa7e0344597e756a1fb6e7054,,
105,0,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10060,212.3.203.145,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61E+12,1.61E+12,6465,5,330,1.61E+12,1.61E+12,0,1,66,1.61E+12,1.61E+12,6266,4,264,66,66,0,66,66,66,0,66,66,66,0,66,182,1616.25,1772.68598,3847,0,0,0,0,182,2088.666667,1836.997097,3847,5,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,TLS,Web,720P_30FPS_Live,1,,,,,
119,0,2a00:1450:4001:6c::a,d2:f8:08:41:c0:04,d2:f8:08,443,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,53783,17,6,0,3,1.61E+12,1.61E+12,128747,3,4176,1.61E+12,1.61E+12,128747,3,4176,0,0,0,0,0,1392,1392,0,1392,1392,1392,0,1392,0,0,0,0,14035,64373.5,71189.38941,114712,14035,64373.5,71189.38941,114712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,1,,,,,
123,0,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10065,54.192.98.43,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61E+12,1.61E+12,240664,41,8961,1.61E+12,1.61E+12,240533,19,2167,1.61E+12,1.61E+12,240508,22,6794,54,218.5609756,382.8460558,1372,54,114.0526316,146.9767456,571,54,308.8181818,492.1898237,1372,0,6016.6,15092.19516,45002,0,13362.94444,20549.91864,45244,0,11452.7619,19537.95693,45243,2,0,0,0,40,12,0,2,1,0,0,0,18,5,0,1,1,0,0,0,22,7,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_Live,0,d27xxe7juh1us6.cloudfront.net,b32309a26951912be7dba376398abc3b,f4febc55ea12b31ae17cfb7e614afda8,,
124,0,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10066,54.192.98.43,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61E+12,1.61E+12,74636,20,6802,1.61E+12,1.61E+12,74636,10,1134,1.61E+12,1.61E+12,74466,10,5668,54,340.1,514.7157519,1372,54,113.4,162.017283,571,54,566.8,647.1827494,1372,0,3928.210526,11946.35431,44961,0,8292.888889,16765.19161,44961,0,8274,16841.51127,45095,2,0,0,0,19,5,0,2,1,0,0,0,9,2,0,1,1,0,0,0,10,3,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_Live,0,d27xxe7juh1us6.cloudfront.net,b32309a26951912be7dba376398abc3b,f4febc55ea12b31ae17cfb7e614afda8,,
126,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,51233,2a03:ec00:b008:3909::11,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61E+12,1.61E+12,11118,1075,1071666,1.61E+12,1.61E+12,11118,321,36026,1.61E+12,1.61E+12,10976,754,1035640,88,996.8986047,594.8780167,1392,95,112.2305296,132.7764444,1366,88,1373.527851,146.8764462,1392,0,10.35195531,193.0083005,6324,0,34.74375,352.9503193,6324,0,14.57636122,231.5145435,6354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,
152,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,52062,2a00:1450:400f:809::2003,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61E+12,1.61E+12,374,18,7914,1.61E+12,1.61E+12,279,9,4290,1.61E+12,1.61E+12,205,9,3624,87,439.6666667,498.228745,1392,95,476.6666667,566.7214924,1366,87,402.6666667,450.8206406,1392,0,22,45.94834056,169,0,34.875,58.61115813,171,0,25.625,46.98917048,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,
156,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,52064,2a03:ec00:b008:3909::11,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61E+12,1.61E+12,164435,40503,39552856,1.61E+12,1.61E+12,164391,12732,1254489,1.61E+12,1.61E+12,164405,27771,38298367,87,976.541392,604.2313004,1392,95,98.53039585,42.52029067,1366,87,1379.077707,127.1627138,1392,0,4.059922967,118.0279323,23242,0,12.91265415,210.4670202,23242,0,5.920237667,143.8421802,23452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,
215,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,56109,2a00:1450:4001:6c::a,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61E+12,1.61E+12,190043,46952,53039729,1.61E+12,1.61E+12,190013,9385,931384,1.61E+12,1.61E+12,189887,37567,52108345,87,1129.658566,520.1575369,1392,95,99.24176878,46.77216461,1370,87,1387.077621,78.03350846,1392,0,4.047688015,9.971911806,641,0,20.24861466,20.13624853,641,0,5.054756961,12.75682561,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,
221,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,61399,2a00:1450:400f:10::7,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61E+12,1.61E+12,211130,2045,2117906,1.61E+12,1.61E+12,211099,517,69150,1.61E+12,1.61E+12,211047,1528,2048756,87,1035.650856,570.7215104,1392,95,133.7524178,173.8133428,1366,87,1340.808901,239.1877822,1392,0,103.2925636,1101.162708,21770,0,409.1065891,2165.246544,21770,0,138.2102161,1278.486561,21835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,
230,0,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10084,54.192.98.43,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61E+12,1.61E+12,241320,40,8909,1.61E+12,1.61E+12,241043,18,2113,1.61E+12,1.61E+12,241069,22,6796,54,222.725,386.8266681,1372,54,117.3888889,150.495706,571,54,308.9090909,492.2057167,1372,0,6187.692308,15226.02286,45001,0,14179,20947.33974,45424,0,11479.47619,19585.52514,45615,2,0,0,0,39,12,0,2,1,0,0,0,17,5,0,1,1,0,0,0,22,7,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_Live,0,d27xxe7juh1us6.cloudfront.net,b32309a26951912be7dba376398abc3b,f4febc55ea12b31ae17cfb7e614afda8,,
