id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,video_quality_category,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
3,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,54151,142.250.74.100,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,147,9,3462,1.64545E+12,1.64545E+12,147,5,1472,1.64545E+12,1.64545E+12,38,4,1990,26,384.6666667,524.8397374,1250,33,294.4,534.6702722,1250,26,497.5,568.1839491,1250,0,18.375,28.36968956,83,0,36.75,43.29260907,84,0,12.66666667,12.50333289,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,www.google.com,ca7c1e1877cd15fb6cd45b1aab4c8838,,Chrome/98.0.4758.102 Windows NT 10.0; Win64; x64,
4,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3235,216.58.207.227,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,14839,6,74,1.64545E+12,1.64545E+12,14839,3,1,1.64545E+12,1.64545E+12,14807,3,73,0,12.33333333,29.72316717,73,0,0.333333333,0.577350269,1,0,24.33333333,42.14656965,73,0,2967.8,6590.954195,14758,48,7419.5,10424.87528,14791,49,7403.5,10400.83364,14758,0,0,0,0,6,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,1,TLS.Google,Web,720P_30FPS_VoD,1,,,,,
8,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3175,65.9.47.130,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,14784,9,64,1.64545E+12,1.64545E+12,14755,4,1,1.64545E+12,1.64545E+12,14732,5,63,0,7.111111111,14.33042606,39,0,0.25,0.5,1,0,12.6,18.04993075,39,0,1848,5193.431511,14701,0,4918.333333,8517.07123,14753,0,3683,7345.346509,14701,0,0,0,0,9,2,0,2,0,0,0,0,4,0,0,1,0,0,0,0,5,2,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
11,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,64815,157.240.194.35,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,22546,145,83746,1.64545E+12,1.64545E+12,22493,73,47054,1.64545E+12,1.64545E+12,22500,72,36692,24,577.5586207,556.9768457,1250,33,644.5753425,552.5508754,1250,24,509.6111111,557.021368,1232,0,156.5694444,753.18618,6843,0,312.4027778,1057.470842,6888,0,316.9014085,1071.262782,6905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Facebook,SocialNetwork,720P_30FPS_VoD,1,,,,,
12,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,57605,216.58.207.227,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,108,7,554,1.64545E+12,1.64545E+12,78,3,414,1.64545E+12,1.64545E+12,75,4,140,25,79.14285714,118.4151293,346,33,138,180.1360597,346,25,35,18.69046103,63,0,18,14.71054044,33,26,39,18.38477631,52,0,25,28.47806173,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Google,Web,720P_30FPS_VoD,1,,,,,
19,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,64231,142.250.74.106,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,145,16,4974,1.64545E+12,1.64545E+12,123,8,2357,1.64545E+12,1.64545E+12,60,8,2617,25,310.875,434.8121242,1250,33,294.625,470.6745729,1250,25,327.125,427.777792,1250,0,9.666666667,22.1638917,84,0,17.57142857,31.25623747,85,0,8.571428571,11.25251295,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
24,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,54483,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,129,9,3461,1.64545E+12,1.64545E+12,129,5,1471,1.64545E+12,1.64545E+12,34,4,1990,26,384.5555556,524.9128764,1250,33,294.2,534.7716335,1250,26,497.5,568.1839491,1250,0,16.125,22.96231385,68,1,32.25,34.22839951,68,5,11.33333333,6.506407099,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
32,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,59404,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,153,9,3459,1.64545E+12,1.64545E+12,153,5,1469,1.64545E+12,1.64545E+12,33,4,1990,26,384.3333333,525.0597585,1250,33,293.8,534.97542,1250,26,497.5,568.1839491,1250,0,19.125,31.31607301,93,0,38.25,43.77499286,93,6,11,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
38,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,65250,142.250.74.42,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,137,15,5005,1.64545E+12,1.64545E+12,137,7,2357,1.64545E+12,1.64545E+12,42,8,2648,25,333.6666667,441.7270758,1250,33,336.7142857,492.7391853,1250,25,331,426.7562034,1250,0,9.785714286,19.01893215,67,0,22.83333333,27.4839347,68,0,6,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
41,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3363,221.5.75.35,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,759,19,4733,1.64545E+12,1.64545E+12,759,8,597,1.64545E+12,1.64545E+12,508,11,4136,0,249.1052632,458.9567753,1412,0,74.625,180.9253496,517,0,376,560.5117305,1412,0,42.16666667,83.48106513,251,0,108.4285714,110.1345497,251,0,50.8,84.12662414,230,3,0,0,0,18,5,1,2,1,0,0,0,7,2,1,1,2,0,0,0,11,3,0,1,TLS,Web,720P_30FPS_VoD,0,lbsugc.cdn.bcebos.com,cd08e31494f9531f560d64c695473da9,15af977ce25de452b96affa2addb1036,,
42,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3367,182.140.225.35,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,121104,49,17121,1.64545E+12,1.64545E+12,120828,20,1223,1.64545E+12,1.64545E+12,120834,29,15898,0,349.4081633,565.2161061,1412,0,61.15,154.6633951,517,0,548.2068966,656.6165101,1412,0,2523,9868.66256,45001,0,6359.368421,15277.21817,45412,0,4315.5,12802.82484,45453,4,0,0,0,48,12,0,2,1,0,0,0,19,5,0,1,3,0,0,0,29,7,0,1,TLS,Web,720P_30FPS_VoD,0,poi-pic-gz.cdn.bcebos.com,cd08e31494f9531f560d64c695473da9,15af977ce25de452b96affa2addb1036,,
