id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,video_quality_category,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
2797,1,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,58691,143.204.238.30,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,1792679,552469,591448948,1.6457E+12,1.6457E+12,1792665,139239,28292,1.6457E+12,1.6457E+12,1792658,413230,591420656,0,1070.555901,627.4744418,1440,0,0.203190198,4.331432839,517,0,1431.214229,101.3771871,1440,0,3.244855811,164.2965749,9640,0,12.87482584,327.5149295,9652,0,4.338170845,190.4783736,9662,2,0,0,0,552468,55732,0,0,1,0,0,0,139238,435,0,0,1,0,0,0,413230,55297,0,0,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,0,d1m7jfoe9zdc1j.cloudfront.net,cd08e31494f9531f560d64c695473da9,f4febc55ea12b31ae17cfb7e614afda8,,
1001,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57825,108.157.217.35,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,856485,270752,279962271,1.6457E+12,1.6457E+12,856485,73989,13101,1.6457E+12,1.6457E+12,856473,196763,279949170,0,1034.01737,644.1761568,1440,0,0.177066861,3.783040004,103,0,1422.773438,133.9832023,1440,0,3.163367818,162.5738546,11087,0,11.57599881,310.9878337,11087,0,4.352837438,191.0307902,11121,0,0,0,0,270752,18581,0,2,0,0,0,0,73989,207,0,1,0,0,0,0,196763,18374,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
3024,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,58691,143.204.238.30,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,221086,64181,75592467,1.6457E+12,1.6457E+12,221075,11344,3419,1.6457E+12,1.6457E+12,221064,52837,75589048,0,1177.801327,553.9130438,1440,0,0.301392807,4.965956022,103,0,1430.608248,105.3132241,1440,0,3.444780305,169.272424,9555,0,19.48999383,402.8656702,9576,0,4.183965478,186.9821911,9576,0,0,0,0,64181,6913,0,0,0,0,0,0,11344,53,0,0,0,0,0,0,52837,6860,0,0,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
1328,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,58592,143.204.238.35,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,102374,35540,35659474,1.6457E+12,1.6457E+12,102374,10654,2590,1.6457E+12,1.6457E+12,102353,24886,35656884,0,1003.361677,660.8465282,1440,0,0.243101183,7.081085979,517,0,1432.808969,91.82747183,1440,0,2.880610034,154.2324072,9644,0,9.609875153,281.8550475,9657,0,4.113039984,184.9065334,9664,2,0,0,0,35539,3365,0,2,1,0,0,0,10653,29,0,1,1,0,0,0,24886,3336,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,0,d1m7jfoe9zdc1j.cloudfront.net,cd08e31494f9531f560d64c695473da9,f4febc55ea12b31ae17cfb7e614afda8,,
2048,1,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,58700,54.187.5.94,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,1763747,656,75688,1.6457E+12,1.6457E+12,1763747,252,56374,1.6457E+12,1.6457E+12,1763575,404,19314,0,115.3780488,237.8008155,1460,0,223.7063492,312.6836689,1113,0,47.80693069,138.2034044,1460,0,2692.743511,9198.060688,45011,0,7026.880478,13811.88753,45011,0,4376.116625,11480.28258,45182,2,0,0,0,655,293,0,0,1,0,0,0,251,142,0,0,1,0,0,0,404,151,0,0,TLS.Twitch,Video,720P_30FPS_VoD,0,video-edge-b4f532.pdx01.abs.hls.ttvnw.net,e1d8b04eeb8ef3954ec4f49267a783ef,9567c957f3266d930f3376ffef9ece6a,,
425,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57808,52.41.69.236,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,860184,304,33464,1.6457E+12,1.6457E+12,860184,121,26885,1.6457E+12,1.6457E+12,860012,183,6579,0,110.0789474,219.8841587,691,0,222.1900826,310.8628399,691,0,35.95081967,53.81370783,137,0,2838.891089,9252.088635,45002,0,7168.2,13636.26306,45002,0,4725.340659,11641.42344,45172,0,0,0,0,304,138,0,2,0,0,0,0,121,68,0,1,0,0,0,0,183,70,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
832,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,61605,213.175.90.190,ac:1f:6b:6c:d2:72,ac:1f:6b,5351,17,4,0,0,1.6457E+12,1.6457E+12,211823,171,2052,1.6457E+12,1.6457E+12,211823,171,2052,0,0,0,0,0,12,12,0,12,12,12,0,12,0,0,0,0,250,1246.017647,644.4643065,2264,250,1246.017647,644.4643065,2264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,720P_30FPS_VoD,0,,,,,
2813,1,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,58790,151.101.86.167,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,1760309,164,44549,1.6457E+12,1.6457E+12,1760294,70,19787,1.6457E+12,1.6457E+12,1760295,94,24762,0,271.6402439,479.6833808,1460,0,282.6714286,474.0255824,1338,0,263.4255319,486.2241284,1460,0,10799.44172,18866.26824,45016,0,25511.50725,21626.73928,45031,0,18927.90323,21726.10089,45032,2,0,0,0,163,45,0,0,1,0,0,0,69,21,0,0,1,0,0,0,94,24,0,0,TLS.Twitch,Video,720P_30FPS_VoD,0,gql.twitch.tv,598872011444709307b861ae817a4b60,fcb2d4d0991292272fcb1e464eedfd43,,
1002,0,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57798,108.157.214.61,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,855844,155,28926,1.6457E+12,1.6457E+12,855844,66,19633,1.6457E+12,1.6457E+12,855814,89,9293,0,186.6193548,348.6082956,1068,0,297.469697,471.9030285,1068,0,104.4157303,179.2616047,458,0,5557.428571,13073.53995,45001,0,13166.83077,17518.54595,45001,0,9725.159091,16119.59778,45011,0,0,0,0,155,80,0,2,0,0,0,0,66,31,0,1,0,0,0,0,89,49,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
1649,1,192.168.0.178,54:e1:ad:83:23:0a,54:e1:ad,57810,34.208.118.142,ac:1f:6b:6c:d2:72,ac:1f:6b,443,6,4,0,0,1.6457E+12,1.6457E+12,1797431,112,1127,1.6457E+12,1.6457E+12,1797431,53,503,1.6457E+12,1.6457E+12,1797219,59,624,0,10.0625,18.83894818,52,0,9.490566038,16.12048701,39,0,10.57627119,21.11071259,52,0,16193.07207,20725.35506,45016,212,34565.98077,17014.32791,45188,0,30986.53448,19311.04348,45187,0,0,0,0,112,24,0,0,0,0,0,0,53,12,0,0,0,0,0,0,59,12,0,0,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
