id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,video_quality_category,application_is_guessed,,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
1,0,103.235.46.170,d2:f8:08:41:c0:04,d2:f8:08,443,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10054,6,4,0,0,1.61497E+12,1.61497E+12,77335,6,32,1.61497E+12,1.61497E+12,8,2,31,1.61497E+12,1.61497E+12,77327,4,1,0,5.333333333,12.58040805,31,0,15.5,21.92031022,31,0,0.25,0.5,1,0,15467,21644.02485,45001,8,8,0,8,1,25775.66667,23203.886,45001,0,0,0,0,6,1,1,2,0,0,0,0,2,1,0,1,0,0,0,0,4,0,1,1,TLS,Web,720P_30FPS_Live,1,,,,,,
9,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,54987,2a00:1450:400f:10::c,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61497E+12,1.61497E+12,15759,24,11862,1.61497E+12,1.61497E+12,15628,12,4944,1.61497E+12,1.61497E+12,15684,12,6918,25,494.25,566.208231,1330,33,412,558.5814826,1296,25,576.5,586.1354947,1330,0,685.173913,3189.40353,15315,0,1420.727273,4639.814718,15410,0,1425.818182,4624.660243,15369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,,
10,0,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10036,103.235.46.170,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61497E+12,1.61497E+12,27425,3,1,1.61497E+12,1.61497E+12,27425,3,1,0,0,0,0,0,0,0.333333333,0.577350269,1,0,0.333333333,0.577350269,1,0,0,0,0,5066,13712.5,12227.99757,22359,5066,13712.5,12227.99757,22359,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,TLS,Web,720P_30FPS_Live,1,,,,,,
14,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,64127,2a00:1450:400f:80d::2016,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61497E+12,1.61497E+12,1103,86,67455,1.61497E+12,1.61497E+12,951,33,4360,1.61497E+12,1.61497E+12,933,53,63095,25,784.3604651,626.5559815,1330,33,132.1212121,315.3679159,1296,25,1190.471698,377.3951002,1330,0,12.97647059,42.40815748,293,0,29.71875,61.32422264,293,0,17.94230769,67.66306765,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,,
17,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,49978,2a03:ec00:b008:3909::11,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61497E+12,1.61497E+12,50962,7227,6627580,1.61497E+12,1.61497E+12,50962,2245,80231,1.61497E+12,1.61497E+12,50951,4982,6547349,25,917.0582538,603.6300346,1330,33,35.7376392,42.3543876,813,25,1314.200923,141.2537786,1330,0,7.052587877,259.8385285,20624,0,22.71033868,468.8548631,20624,0,10.22907047,313.6086182,20659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,720P_30FPS_Live,0,,,,,,
18,0,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,9985,212.93.100.201,d2:f8:08:41:c0:04,d2:f8:08,443,6,4,0,0,1.61497E+12,1.61497E+12,67691,11,62,1.61497E+12,1.61497E+12,67658,5,2,1.61497E+12,1.61497E+12,67613,6,60,0,5.636363636,8.127394752,24,0,0.4,0.547722558,1,0,10,9.033271833,24,0,6769.1,15071.40851,45001,168,16914.5,21422.18122,45079,0,13522.6,20202.8642,45266,0,0,0,0,11,1,1,4,0,0,0,0,5,0,1,2,0,0,0,0,6,1,0,2,TLS,Web,720P_30FPS_Live,1,,,,,,
27,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,10048,2a00:1450:400f:803::200e,d2:f8:08:41:c0:04,d2:f8:08,443,6,6,0,0,1.61497E+12,1.61497E+12,105368,12,197,1.61497E+12,1.61497E+12,105368,6,15,1.61497E+12,1.61497E+12,105250,6,182,0,16.41666667,26.97291009,73,0,2.5,4.679743583,12,0,30.33333333,33.37464107,73,0,9578.909091,18036.77495,45002,74,21073.6,22824.20681,45290,74,21050,22851.68562,45289,0,0,0,0,12,2,0,2,0,0,0,0,6,0,0,1,0,0,0,0,6,2,0,1,TLS,Web,720P_30FPS_Live,1,,,,,,
36,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,52062,2a00:1450:400f:809::2003,d2:f8:08:41:c0:04,d2:f8:08,443,17,6,0,0,1.61497E+12,1.61497E+12,374,18,6782,1.61497E+12,1.61497E+12,279,9,3716,1.61497E+12,1.61497E+12,205,9,3066,25,376.7777778,496.4825162,1330,33,412.8888889,563.585274,1296,25,340.6666667,450.8206406,1330,0,22,45.94834056,169,0,34.875,58.61115813,171,0,25.625,46.98917048,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_Live,0,,,,,,
43,0,103.235.46.170,d2:f8:08:41:c0:04,d2:f8:08,443,192.168.43.150,e8:9e:b4:12:c7:83,e8:9e:b4,10055,6,4,0,0,1.61497E+12,1.61497E+12,138639,21,77,1.61497E+12,1.61497E+12,29866,6,62,1.61497E+12,1.61497E+12,138639,15,15,0,3.666666667,9.451631253,31,0,10.33333333,16.00833116,31,0,1,3.070597894,12,0,6931.95,10994.15521,44600,48,5973.2,7974.923993,14766,8,9902.785714,12081.98748,44600,0,0,0,0,21,2,1,8,0,0,0,0,6,2,0,2,0,0,0,0,15,0,1,6,TLS,Web,720P_30FPS_Live,1,,,,,,
50,0,2a03:ec00:b350:fd73:cc27:d6d3:5c88:87a6,e8:9e:b4:12:c7:83,e8:9e:b4,10059,2a03:ec00:b008:3909::11,d2:f8:08:41:c0:04,d2:f8:08,443,6,6,0,0,1.61497E+12,1.61497E+12,105959,21,3946,1.61497E+12,1.61497E+12,105730,10,607,1.61497E+12,1.61497E+12,105496,11,3339,0,187.9047619,412.3161293,1298,0,60.7,161.5309052,517,0,303.5454545,534.4483817,1298,0,5297.95,13937.72896,45000,1,11747.77778,19446.76727,45092,0,10549.6,18799.30754,45234,3,0,0,0,19,3,1,2,1,0,0,0,9,2,0,0,2,0,0,0,10,1,1,2,TLS.YouTube,Media,720P_30FPS_Live,0,,r6---sn-ahu-gpml.googlevideo.com,b32309a26951912be7dba376398abc3b,eb1d94daa7e0344597e756a1fb6e7054,,
